gisco_id,name,registered,turnout,invalid,blank,AS,DeSUS,DSS,"GŽZ, ZZP, ZNS, NDS",JL,LDS,NPS,NSi,SEG,SJN,SDS,SNS,SLS,SMS,LS,SSN,ZAPS,ZLSD,ZDRUŽENI,ZELENI,MARKO BRECELJ,MIHAEL SVANJAK,ŠTEFAN HUDOBIVNIK
SI_1001,Jesenice,25957,13886,451,0,332,374,64,111,157,3473,59,1088,70,128,3763,692,432,287,4,28,55,2188,25,105,0,0,0
SI_1002,Radovljica I,13479,9201,322,0,869,215,22,36,82,1992,26,818,59,113,2399,488,384,149,10,17,151,847,4,198,0,0,0
SI_1003,Radovljica II,15167,9714,277,0,274,232,22,81,126,2354,7,1090,55,296,2787,527,213,175,8,14,113,988,5,70,0,0,0
SI_1004,Kranj I,19912,12333,255,0,533,281,27,55,114,3302,15,1125,45,149,3588,743,354,171,47,17,43,1388,5,76,0,0,0
SI_1005,Kranj II,20037,12366,287,0,538,284,36,81,139,3162,17,1009,64,181,3717,734,469,165,55,14,48,1279,16,71,0,0,0
SI_1006,Kranj III,21226,14982,312,0,511,321,18,63,152,2337,17,1454,61,211,5219,635,2222,214,9,22,45,1086,7,66,0,0,0
SI_1007,Tržič,12435,8017,210,0,196,159,0,23,65,2158,23,673,49,92,3079,294,283,92,5,13,8,545,19,31,0,0,0
SI_1008,Škofja Loka I,17631,11909,283,0,298,244,0,87,132,2607,7,1590,63,171,3669,419,1118,161,10,13,107,849,18,63,0,0,0
SI_1009,Škofja Loka II,14400,10012,200,0,264,191,15,34,27,1450,11,1191,22,85,3526,267,1808,87,5,8,77,706,4,34,0,0,0
SI_1010,Kamnik,25017,16320,341,0,582,736,41,34,189,3705,25,1489,55,199,5053,670,1230,256,11,29,164,1321,34,156,0,0,0
SI_1011,Idrija,13805,8819,216,0,197,128,0,56,58,1100,25,750,26,269,2117,311,1506,134,5,10,74,1816,1,20,0,0,0
SI_2001,Tolmin,16440,11055,327,0,204,1079,31,106,103,1635,0,1117,41,102,3777,396,786,514,0,31,37,675,1,67,23,3,0
SI_2002,Piran,14578,7635,270,0,129,427,27,117,95,2087,0,458,34,475,1409,362,116,156,0,29,23,1239,19,107,43,13,0
SI_2003,Izola,12296,6688,240,0,142,388,19,72,107,1598,0,175,24,278,1207,304,182,71,0,16,12,1758,12,36,26,21,0
SI_2004,Koper I,18670,10224,294,0,226,586,31,50,73,2109,0,358,30,2218,1339,463,148,90,0,22,40,1901,11,72,103,60,0
SI_2005,Koper II,21376,11829,411,0,207,636,0,79,106,2122,0,728,33,2347,2052,727,295,135,0,53,68,1550,32,112,81,55,0
SI_2006,Sežana,19450,12099,342,0,338,503,35,255,150,3170,0,793,31,196,2595,870,532,186,0,61,41,1816,19,98,53,15,0
SI_2007,Ilirska Bistrica,12181,7101,250,0,426,455,15,87,33,1120,0,358,27,374,2064,393,675,111,0,28,14,551,8,82,26,4,0
SI_2008,Postojna,16484,10083,277,0,199,333,0,94,71,2183,0,807,48,260,2901,638,985,146,0,28,14,943,5,120,28,3,0
SI_2009,Nova Gorica I,24793,14948,389,0,256,526,0,157,124,2951,0,1465,52,831,4177,737,731,291,0,203,38,1859,19,77,60,5,0
SI_2010,Nova Gorica II,24160,14773,351,0,320,585,52,202,192,2761,0,1151,71,1129,3198,818,481,272,0,197,76,2725,24,100,59,9,0
SI_2011,Ajdovščina,18588,12395,311,0,231,307,77,245,78,1722,0,2382,31,281,3735,438,863,134,0,50,116,1105,220,45,21,3,0
SI_3001,Cerknica- Logatec,21875,14412,261,0,365,316,28,55,75,2902,28,2001,45,318,4409,614,863,296,22,26,373,1284,43,88,0,0,0
