gisco_id,name,registered,turnout,invalid,blank,MSZP,JOBBIK,LEHET MÁS A POLITIKA,MAGYAR DEMOKRATA FÓRUM,FIDESZ-KDNP,Jobbik,CIVIL MOZGALOM,Lehet Más a Politika,Fidesz-KDNP,MDF,Összefogás Párt BAZ M-i Lista,MSZDP,MAGYAR SZOCIALISTA PÁRT,MUNKÁSPÁRT,MIÉP,CIVILEK,Magyar Demokrata Fórum,LMP,Civil Mozgalom,Munkáspárt,Magyar Szocialista Párt,FIDESZ - KDNP
HU_0513,Birján,429,285,3,0,46,0,25,13,168,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2492,Bisse,202,113,0,0,13,0,5,6,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2089,Boda,371,207,1,0,38,0,18,6,111,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3300,Bodolyabér,215,117,1,0,19,0,5,1,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3215,Bogád,795,480,5,0,60,0,64,16,243,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2189,Bogádmindszent,350,198,1,0,21,0,12,1,151,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1069,Bogdása,253,128,1,0,17,0,1,5,86,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,351,236,1,0,36,0,4,2,163,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0672,Borjád,351,216,1,0,24,0,17,4,116,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1436,Bosta,113,56,0,0,16,0,3,2,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1336,Botykapeterd,271,130,3,0,22,0,5,1,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3315,Bóly,3002,1987,12,0,348,0,155,69,1247,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2316,Bükkösd,953,525,8,0,74,0,30,9,324,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0753,Bürüs,74,32,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3061,Csarnóta,119,81,0,0,8,0,1,2,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1990,Csányoszró,595,298,4,0,48,0,9,6,201,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2159,Csebény,75,45,0,0,13,0,2,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2608,Cserdi,284,133,2,0,11,0,3,0,104,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0389,Cserkút,433,272,8,0,64,0,30,4,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1385,Csertõ,317,174,3,0,39,0,8,2,104,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2257,Csonkamindszent,140,87,1,0,9,0,2,0,59,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1108,Cún,185,119,1,0,11,0,2,0,96,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0777,Dencsháza,491,217,2,0,29,0,18,3,142,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1195,Dinnyeberki,67,42,0,0,6,0,3,2,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3237,Diósviszló,583,349,6,0,46,0,16,0,244,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2861,Drávacsehi,172,104,1,0,30,0,2,0,57,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2812,Drávacsepely,185,116,3,0,15,0,5,2,83,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1741,Drávafok,406,228,6,0,36,0,10,6,138,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3239,Drávaiványi,142,76,4,0,32,0,3,1,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0915,Drávakeresztúr,102,47,0,0,9,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2273,Drávapalkonya,208,99,2,0,29,0,2,4,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1238,Drávapiski,101,62,1,0,9,0,2,0,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2860,Drávaszabolcs,549,303,7,0,65,0,20,4,165,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3003,Drávaszerdahely,168,113,2,0,18,0,1,0,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2169,Drávasztára,389,198,2,0,31,0,5,1,130,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0918,Dunaszekcsõ,1700,995,8,0,158,0,36,19,622,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2891,Egerág,851,484,1,0,76,0,60,8,223,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1649,Egyházasharaszti,239,149,2,0,20,0,1,2,99,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2740,Egyházaskozár,689,404,6,0,126,0,36,8,155,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0609,Ellend,194,133,1,0,27,0,6,5,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2827,Endrõc,331,189,2,0,31,0,4,2,136,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2582,Erdõsmárok,74,47,0,0,11,0,1,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1870,Erdõsmecske,335,159,0,0,17,0,4,3,101,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1349,Erzsébet,261,140,1,0,8,0,2,3,91,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1783,Fazekasboda,181,100,0,0,4,0,9,8,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0454,Feked,169,133,2,0,25,0,14,3,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1328,Felsõegerszeg,119,61,0,0,13,0,2,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0881,Felsõszentmárton,870,523,6,0,187,0,17,13,264,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0756,Garé,244,149,4,0,42,0,11,3,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1275,Gerde,431,210,2,0,30,0,7,5,142,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0285,Geresdlak,707,414,5,0,50,0,9,72,242,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1334,Gerényes,182,93,4,0,21,0,5,1,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1833,Gilvánfa,236,111,3,0,5,0,3,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3308,Gordisa,204,92,1,0,11,0,3,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3323,Gödre,768,386,2,0,56,0,7,6,258,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3043,Görcsöny,1391,700,13,0,179,0,55,13,361,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0963,Görcsönydoboka,352,195,1,0,38,0,10,9,119,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1831,Gyód,543,335,2,0,73,0,22,11,177,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2840,Gyöngyfa,106,54,0,0,10,0,2,0,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2266,Gyöngyösmellék,227,132,0,0,16,0,6,3,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2152,Harkány,3323,2288,18,0,349,0,101,45,1445,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2788,Hásságy,256,180,0,0,29,0,9,5,129,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3095,Hegyhátmaróc,148,76,0,0,27,0,1,4,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2102,Hegyszentmárton,359,202,1,0,18,0,7,1,146,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1719,Helesfa,298,155,3,0,49,0,5,1,79,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0712,Hetvehely,389,240,2,0,47,0,16,5,144,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0679,Hidas,1798,1113,9,0,156,0,52,19,714,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2793,Himesháza,951,586,5,0,99,0,27,12,364,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0328,Hirics,160,80,0,0,5,0,0,1,59,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3393,Hobol,787,451,2,0,77,0,22,4,272,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2996,Homorúd,538,334,3,0,32,0,17,3,221,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2307,Horváthertelend,59,42,1,0,16,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3083,Hosszúhetény,2700,1676,19,0,283,0,229,50,894,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3143,Husztót,53,41,3,0,11,0,2,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3306,Ibafa,179,125,1,0,29,0,7,3,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3193,Illocska,201,102,1,0,45,0,0,2,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2994,Ipacsfa,183,115,0,0,12,0,6,3,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0333,Ivánbattyán,124,90,2,0,23,0,7,1,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0334,Ivándárda,204,132,2,0,42,0,10,2,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0429,Kacsóta,223,113,0,0,18,0,4,3,67,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0696,Katádfa,134,78,0,0,2,0,0,2,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0641,Kákics,185,96,1,0,5,0,0,1,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0599,Kárász,288,198,3,0,33,0,16,5,108,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1746,Kásád,285,157,2,0,16,0,6,3,107,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1913,Kátoly,290,172,4,0,44,0,9,9,90,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0678,Kemse,57,44,0,0,7,0,1,1,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0383,Keszü,963,692,1,0,139,0,86,21,344,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1680,Kékesd,152,99,0,0,16,0,3,1,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1054,Kémes,419,287,0,0,43,0,53,3,157,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0857,Kétújfalu,539,353,3,0,74,0,19,2,232,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2055,Királyegyháza,804,379,4,0,76,0,18,5,223,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1890,Kisasszonyfa,158,100,0,0,15,0,0,1,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0572,Kisbeszterce,70,35,0,0,3,0,0,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2286,Kisbudmér,86,52,0,0,6,0,0,2,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1118,Kisdér,96,61,0,0,10,0,7,1,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3390,Kisdobsza,191,124,2,0,10,0,1,1,92,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0683,Kishajmás,178,84,2,0,26,0,6,1,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2702,Kisharsány,440,259,4,0,36,0,19,9,167,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1697,Kisherend,169,85,1,0,19,0,4,3,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1284,Kisjakabfalva,133,80,0,0,9,0,4,1,53,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1991,Kiskassa,219,154,1,0,34,0,7,1,91,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2161,Kislippó,238,131,1,0,35,0,5,3,69,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3321,Kisnyárád,171,105,0,0,41,0,6,2,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0865,Kisszentmárton,200,146,4,0,25,0,4,2,93,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1235,Kistamási,99,53,0,0,5,0,0,0,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0315,Kistapolca,162,114,0,0,12,0,7,0,64,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1074,Kistótfalu,285,163,1,0,48,0,12,5,86,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0954,Kisvaszar,237,135,2,0,18,0,1,1,95,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2640,Komló,23129,12781,164,0,3445,120,1031,375,5697,1808,0,0,0,11,0,0,130,0,0,0,0,0,0,0,0,0
HU_2422,Kovácshida,219,137,0,0,24,0,13,3,79,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1451,Kovácsszénája,58,46,0,0,7,0,4,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0633,Kozármisleny,4518,3004,24,0,479,0,388,121,1556,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0811,Kórós,173,105,3,0,14,0,4,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2524,Köblény,214,117,0,0,38,0,4,2,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0354,Kökény,546,334,1,0,75,0,37,13,147,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1789,Kölked,866,493,2,0,80,0,20,11,349,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1553,Kővágószőlős,1346,756,12,0,123,0,60,19,432,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0647,Lapáncsa,169,104,1,0,12,0,0,0,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3333,Lánycsók,2142,1351,13,0,194,0,80,28,875,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1760,Liget,326,171,0,0,37,0,19,1,88,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2297,Lippó,448,258,4,0,68,0,14,8,135,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1003,Liptód,188,90,2,0,11,0,6,2,58,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3138,Lothárd,217,118,0,0,23,0,20,4,53,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2462,Lovászhetény,227,128,2,0,22,0,10,2,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1886,Lúzsok,174,96,1,0,7,0,0,1,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2517,Magyarbóly,829,542,9,0,105,0,18,9,351,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2975,Magyaregregy,668,446,3,0,76,0,23,15,250,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0543,Magyarhertelend,569,362,3,0,62,0,37,8,216,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2354,Magyarlukafa,69,34,1,0,4,0,4,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0541,Magyarmecske,238,158,1,0,24,0,4,2,103,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2706,Magyarsarlós,270,168,0,0,20,0,17,1,94,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2260,Magyarszék,936,571,1,0,153,0,44,16,272,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0438,Magyartelek,178,116,0,0,28,0,1,0,56,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2786,Majs,831,446,2,0,87,0,26,16,232,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2992,Maráza,160,96,1,0,18,0,0,2,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1644,Markóc,44,26,0,0,0,0,3,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1521,Marócsa,86,56,1,0,15,0,1,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0222,Martonfa,175,112,1,0,20,0,21,5,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1505,Matty,299,192,3,0,23,0,5,0,143,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0681,Mágocs,2027,1127,4,0,240,0,59,29,664,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3392,Mánfa,694,421,2,0,107,0,55,10,186,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0945,Márfa,182,123,0,0,12,0,8,1,87,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1448,Máriakéménd,426,249,3,0,52,0,6,5,136,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2065,Márok,392,296,4,0,29,0,16,6,218,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3375,Máza,1048,623,4,0,160,0,40,17,359,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1344,Mecseknádasd,1392,758,2,0,115,0,53,39,460,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1140,Mecsekpölöske,369,228,0,0,53,0,10,7,108,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3049,Mekényes,256,145,2,0,34,0,7,9,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0773,Merenye,242,124,0,0,8,0,7,1,94,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0347,Mezõd,111,62,0,0,18,0,3,1,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1628,Mindszentgodisa,703,397,3,0,80,0,20,7,238,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2395,Mohács,15948,9688,69,0,1776,0,611,231,5870,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
