gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłoci - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwoć,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
PL_0805022,Górzyca,3210,423,15,0,13,41,29,3,6,68,4,2,140,102,0,0
PL_0805033,Ośno Lubuskie,5051,848,34,0,6,72,21,15,10,130,20,9,340,191,0,0
PL_0805043,Rzepin,7748,1205,35,0,10,62,16,21,23,218,27,9,548,236,0,0
PL_0805053,Słubice,15311,3216,50,0,22,142,44,37,33,639,41,32,1622,554,0,0
PL_0806013,Dobiegniew,5663,752,27,0,5,72,22,5,12,144,11,11,312,131,0,0
PL_0806023,Drezdenko,14001,2192,65,0,20,129,45,39,31,394,40,33,922,474,0,0
PL_0806032,Stare Kurowo,3332,451,19,0,4,71,13,4,5,75,5,7,167,81,0,0
PL_0806043,Strzelce Krajeńskie,13973,1935,38,0,9,143,43,30,12,404,25,20,856,355,0,0
PL_0806052,Zwierzyn,3413,527,17,0,10,53,24,10,9,84,9,20,179,112,0,0
PL_0807012,Krzeszyce,3653,502,23,0,10,99,17,1,5,74,2,1,148,122,0,0
PL_0807023,Lubniewice,2559,495,17,0,7,60,14,3,4,119,8,4,179,80,0,0
PL_0807032,Słońsk,4165,613,16,0,4,75,31,13,17,90,9,35,198,125,0,0
PL_0807043,Sulęcin,12813,2282,66,0,20,182,43,20,39,461,12,33,908,498,0,0
PL_0807053,Torzym,5534,710,27,0,6,43,19,1,11,140,7,15,312,129,0,0
PL_0808012,Lubrza,2671,314,6,0,4,20,8,2,4,67,2,6,134,61,0,0
PL_0808022,Łagów,4268,654,25,0,17,39,24,12,12,90,5,15,265,150,0,0
PL_0808032,Skąpe,4111,624,14,0,14,74,21,17,19,112,11,11,244,87,0,0
PL_0808042,Szczaniec,3057,417,14,0,8,68,15,8,3,67,6,8,124,96,0,0
PL_0808053,Świebodzin,23688,4576,96,0,60,192,50,58,56,816,63,77,2144,964,0,0
PL_0808063,Zbąszynek,6614,1232,33,0,16,75,16,9,15,277,26,22,538,205,0,0
PL_0809013,Babimost,4942,931,27,0,12,50,20,12,11,257,13,8,384,137,0,0
PL_0809022,Bojadła,2695,406,23,0,6,38,14,12,9,63,6,5,151,79,0,0
PL_0809033,Czerwieńsk,7494,1293,45,0,14,39,19,21,12,317,15,20,529,262,0,0
PL_0809043,Kargowa,4578,714,25,0,5,62,7,13,8,106,14,7,341,126,0,0
PL_0809053,Nowogród Bobrzański,8241,1486,60,0,14,82,29,23,20,237,15,19,794,193,0,0
PL_0809063,Sulechów,21054,4065,104,0,68,146,42,37,37,853,49,58,1917,754,0,0
PL_0809072,Świdnica,4659,1122,15,0,5,333,11,6,5,144,15,8,468,112,0,0
PL_0809082,Trzebiechów,2550,338,20,0,3,30,10,1,5,46,7,7,160,49,0,0
PL_0809092,Zabór,2782,496,8,0,7,20,9,4,4,95,9,5,239,96,0,0
PL_0809102,Zielona Góra,13320,3258,41,0,34,140,36,14,26,522,41,56,1773,575,0,0
PL_0810011,Gozdnica,2800,338,10,0,4,19,10,4,3,66,7,7,150,58,0,0
PL_0810021,Żagań,21683,4573,77,0,60,152,63,54,54,949,105,59,2155,845,0,0
PL_0810032,Brzeźnica,2945,506,18,0,8,109,32,13,7,62,6,8,106,137,0,0
PL_0810043,Iłowa,5823,838,25,0,12,39,25,13,9,141,14,23,388,149,0,0
PL_0810053,Małomice,4509,651,25,0,6,96,17,9,10,103,7,11,241,126,0,0
PL_0810062,Niegosławice,3648,420,11,0,4,80,28,4,12,35,7,9,119,111,0,0
PL_0810073,Szprotawa,17386,2680,66,0,34,774,44,21,28,340,28,32,864,449,0,0
PL_0810082,Wymiarki,2001,227,9,0,1,17,6,3,3,46,3,3,99,37,0,0
PL_0810092,Żagań,5430,750,26,0,10,108,31,15,7,88,11,8,313,133,0,0
PL_0811011,Łęknica,2001,285,14,0,11,11,4,4,0,54,1,2,132,52,0,0
PL_0811021,Żary,31696,6718,100,0,66,106,59,76,85,1327,85,72,3379,1363,0,0
PL_0811032,Brody,2742,346,10,0,9,28,7,5,7,66,7,4,122,81,0,0
PL_0811043,Jasień,5772,835,23,0,10,39,9,8,12,162,10,16,372,174,0,0
PL_0811052,Lipinki Łużyckie,2590,370,15,0,5,36,13,7,10,38,4,6,166,70,0,0
PL_0811063,Lubsko,15752,2571,70,0,29,112,63,47,25,480,32,30,1155,528,0,0
PL_0811072,Przewóz,2556,302,15,0,2,47,7,8,3,44,2,8,100,66,0,0
PL_0811082,Trzebiel,4615,556,24,0,2,44,32,21,17,81,8,11,222,94,0,0
PL_0811092,Tuplice,2635,362,6,0,4,26,10,8,5,77,7,3,174,42,0,0
PL_0811102,Żary,9191,1288,25,0,16,128,35,8,43,132,12,21,488,380,0,0
PL_0812013,Sława,9414,1607,43,0,13,110,16,16,13,218,12,22,863,281,0,0
PL_0812023,Szlichtyngowa,3925,604,28,0,3,40,15,6,7,28,5,3,128,341,0,0
PL_0812033,Wschowa,17179,3088,72,0,45,146,57,36,32,319,46,57,1127,1151,0,0
PL_0861011,M. Gorzów Wielkopolski,100327,23970,315,0,254,549,181,157,206,6422,195,326,9774,5591,0,0
PL_0862011,M. Zielona Góra,94028,29568,274,0,302,444,144,150,145,6615,333,284,15438,5439,0,0
PL_1001011,Bełchatów,50183,10909,224,0,145,283,94,261,134,1618,272,184,3944,3750,0,0
PL_1001022,Bełchatów,7771,1256,24,0,14,79,28,63,14,85,22,8,339,580,0,0
PL_1001032,Drużbice,4035,616,17,0,7,93,43,11,5,58,19,7,136,220,0,0
PL_1001042,Kleszczów,3507,500,16,0,8,81,8,9,10,39,7,7,135,180,0,0
PL_1001052,Kluki,3221,346,13,0,6,29,13,3,6,44,6,3,85,138,0,0
PL_1001062,Rusiec,4215,862,23,0,9,94,67,19,7,65,14,11,175,378,0,0
PL_1001072,Szczerców,6169,912,21,0,7,67,57,24,11,119,25,10,218,353,0,0
PL_1001083,Zelów,12213,2080,63,0,16,143,81,29,24,238,35,50,576,825,0,0
PL_1002011,Kutno,39636,8958,201,0,81,268,113,70,66,1553,232,129,3776,2469,0,0
PL_1002022,Bedlno,4970,707,20,0,19,249,79,13,7,41,13,35,83,148,0,0
PL_1002032,Dąbrowice,1646,232,14,0,3,68,43,0,2,12,2,1,31,56,0,0
PL_1002043,Krośniewice,7374,1024,30,0,9,128,117,11,8,122,32,18,314,235,0,0
PL_1002052,Krzyżanów,3591,487,7,0,2,109,55,4,4,53,14,7,86,146,0,0
PL_1002062,Kutno,6807,1118,24,0,12,147,81,10,12,92,17,5,300,418,0,0
PL_1002072,Łanięta,2006,241,4,0,1,47,60,4,4,20,0,2,32,67,0,0
PL_1002082,Nowe Ostrowy,3106,372,24,0,4,63,23,3,3,47,12,6,85,102,0,0
PL_1002092,Oporów,2237,300,12,0,3,93,35,2,3,11,2,1,34,104,0,0
PL_1002102,Strzelce,3317,469,21,0,1,64,55,0,11,31,4,10,97,175,0,0
PL_1002113,Żychlin,10877,1558,56,0,28,229,56,13,13,250,27,31,507,348,0,0
PL_1003012,Buczek,3670,605,14,0,9,109,52,5,5,52,3,6,141,209,0,0
PL_1003023,Łask,23214,4748,103,0,32,290,63,28,35,721,110,88,1956,1322,0,0
PL_1003032,Sędziejowice,5125,808,18,0,6,256,29,8,6,74,16,10,165,220,0,0
PL_1003042,Widawa,6429,910,33,0,8,167,56,16,10,82,16,7,197,318,0,0
PL_1003052,Wodzierady,2504,418,6,0,2,97,21,0,8,23,3,5,129,124,0,0
PL_1004011,Łęczyca,12579,2790,56,0,28,55,52,15,11,528,100,27,1298,620,0,0
PL_1004022,Daszyna,3454,539,22,0,2,79,214,4,5,25,10,2,70,106,0,0
PL_1004032,Góra Świętej Małgorzaty,3640,502,14,0,6,69,92,5,8,27,11,9,74,187,0,0
PL_1004042,Grabów,5234,762,19,0,6,140,137,5,9,56,18,13,104,255,0,0
PL_1004052,Łęczyca,7868,1293,58,0,10,241,187,7,20,59,28,14,300,369,0,0
PL_1004062,Piątek,5209,677,12,0,4,75,48,5,14,65,10,0,171,273,0,0
PL_1004072,Świnice Warckie,3280,451,14,0,5,91,52,7,2,40,7,5,87,141,0,0
PL_1004082,Witonia,2864,406,20,0,3,114,54,2,4,29,9,4,52,115,0,0
PL_1005011,Łowicz,25469,5912,181,0,73,342,67,31,52,951,140,100,2429,1546,0,0
PL_1005022,Bielawy,4792,720,30,0,6,209,83,2,9,90,12,9,112,158,0,0
PL_1005032,Chąśno,2488,450,11,0,1,209,16,1,2,10,1,4,28,167,0,0
PL_1005042,Domaniewice,3773,514,19,0,3,163,23,4,3,29,14,6,90,160,0,0
PL_1005052,Kiernozia,2984,371,3,0,3,100,14,4,4,42,11,2,50,138,0,0
PL_1005062,Kocierzew Południowy,3568,672,16,0,2,229,24,4,3,5,3,12,34,340,0,0
PL_1005072,Łowicz,5883,1101,21,0,6,426,35,8,5,68,8,7,181,336,0,0
PL_1005082,Łyszkowice,5388,639,16,0,4,119,26,6,2,57,14,7,202,186,0,0
PL_1005092,Nieborów,7614,1183,30,0,17,182,37,18,10,82,28,28,349,402,0,0
PL_1005102,Zduny,4994,865,26,0,9,367,20,12,7,45,7,10,103,259,0,0
PL_1006022,Andrespol,9693,2526,35,0,29,70,33,20,20,290,78,31,1091,829,0,0
PL_1006032,Brójce,4519,962,7,0,12,93,18,5,8,37,23,14,375,370,0,0
PL_1006073,Koluszki,18868,4422,107,0,57,190,62,26,35,525,90,51,1767,1512,0,0
PL_1006082,Nowosolna,3093,915,7,0,11,73,7,4,11,73,49,3,468,209,0,0
PL_1006103,Rzgów,7303,1680,26,0,16,102,34,12,18,104,31,15,721,601,0,0
PL_1006113,Tuszyn,9674,1794,26,0,22,98,50,5,25,156,41,21,772,578,0,0
PL_1007012,Białaczów,4796,789,24,0,3,322,29,0,4,39,15,7,118,228,0,0
PL_1007023,Drzewica,8916,1687,59,0,14,303,119,8,14,147,28,53,284,658,0,0
PL_1007032,Mniszków,3788,665,12,0,7,154,47,9,4,43,5,21,88,275,0,0
PL_1007043,Opoczno,28256,7059,163,0,57,853,329,67,64,833,167,218,1713,2595,0,0
PL_1007052,Paradyż,3542,786,16,0,3,397,44,3,11,20,3,17,48,224,0,0
PL_1007062,Poświętne,2779,535,14,0,7,137,32,2,7,29,2,26,56,223,0,0
PL_1007072,Sławno,5874,1162,41,0,5,424,90,2,12,35,12,19,95,427,0,0
PL_1007082,Żarnów,5056,756,24,0,4,148,29,7,8,111,11,15,97,302,0,0
PL_1008011,Konstantynów Łódzki,14515,3606,51,0,42,71,31,28,24,348,127,47,1972,865,0,0
PL_1008021,Pabianice,58061,15187,204,0,158,455,103,115,88,2169,469,123,7231,4072,0,0
PL_1008032,Dłutów,3348,507,8,0,2,76,18,5,8,55,8,9,163,155,0,0
PL_1008042,Dobroń,5547,1303,23,0,8,217,13,3,5,86,22,11,496,419,0,0
PL_1008052,Ksawerów,5879,1437,10,0,25,80,8,18,15,119,34,8,725,395,0,0
PL_1008062,Lutomiersk,5778,1089,30,0,12,211,44,4,6,78,25,5,342,332,0,0
PL_1008072,Pabianice,4727,1286,22,0,7,259,16,6,17,73,15,13,420,438,0,0
PL_1009013,Działoszyn,10426,1563,38,0,17,127,41,22,14,235,29,17,479,544,0,0
PL_1009022,Kiełczygłów,3557,428,6,0,7,60,39,4,4,52,3,6,110,137,0,0
PL_1009032,Nowa Brzeźnica,3954,463,20,0,6,78,19,2,4,47,13,4,118,152,0,0
PL_1009043,Pajęczno,9634,1563,41,0,12,95,50,13,12,213,31,9,465,622,0,0
PL_1009052,Rząśnia,3780,540,21,0,2,117,44,1,11,34,5,3,77,225,0,0
PL_1009062,Siemkowice,3969,530,18,0,5,117,66,8,3,52,8,9,89,155,0,0
PL_1009072,Strzelce Wielkie,3887,525,15,0,12,102,29,7,8,54,9,8,81,200,0,0
PL_1009082,Sulmierzyce,3765,553,13,0,8,64,36,8,6,98,7,5,100,208,0,0
PL_1010012,Aleksandrów,3725,608,23,0,6,207,62,0,3,26,10,4,74,193,0,0
PL_1010022,Czarnocin,3195,568,10,0,10,80,41,5,12,43,5,9,113,240,0,0
PL_1010032,Gorzkowice,6847,1065,29,0,6,77,18,5,9,58,11,21,135,696,0,0
PL_1010042,Grabica,4757,794,26,0,2,143,113,6,6,56,5,5,118,314,0,0
PL_1010052,Łęki Szlacheckie,2963,387,18,0,4,109,31,1,1,17,2,64,38,102,0,0
PL_1010062,Moszczenica,10047,1795,51,0,21,198,107,19,34,107,23,29,452,754,0,0
PL_1010072,Ręczno,3073,514,12,0,2,154,39,3,6,37,3,27,94,137,0,0
PL_1010082,Rozprza,9418,1157,40,0,10,215,40,17,17,100,15,33,258,412,0,0
PL_1010093,Sulejów,12353,2289,49,0,15,253,90,16,43,184,42,38,693,866,0,0
PL_1010102,Wola Krzysztoporska,9024,1478,31,0,15,143,79,12,16,85,16,34,289,758,0,0
PL_1010112,Wolbórz,6247,1545,28,0,19,297,68,10,15,104,28,26,376,574,0,0
PL_1011012,Dalików,2998,555,19,0,8,141,50,3,8,40,9,3,104,170,0,0
PL_1011022,Pęczniew,2987,525,18,0,3,108,48,7,3,90,11,2,87,148,0,0
PL_1011033,Poddębice,13029,2068,61,0,15,223,80,17,13,293,60,14,741,551,0,0
PL_1011043,Uniejów,6094,1135,21,0,10,150,60,4,16,113,60,10,335,356,0,0
PL_1011052,Wartkowice,5048,617,16,0,8,118,65,7,11,77,14,8,105,188,0,0
PL_1011062,Zadzim,4353,817,21,0,3,336,51,2,5,62,5,2,106,224,0,0
PL_1012011,Radomsko,40019,8146,162,0,71,186,58,55,55,1393,176,143,3338,2509,0,0
PL_1012022,Dobryszyce,3280,555,20,0,3,81,16,8,9,58,9,13,180,158,0,0
PL_1012032,Gidle,5351,668,21,0,6,97,18,5,8,77,9,8,209,210,0,0
PL_1012042,Gomunice,4708,844,20,0,12,90,18,24,8,150,19,14,221,268,0,0
PL_1012053,Kamieńsk,4817,706,25,0,4,111,21,3,0,37,8,15,152,330,0,0
PL_1012062,Kobiele Wielkie,3554,523,26,0,2,75,23,5,11,157,7,4,76,137,0,0
PL_1012072,Kodrąb,3845,502,15,0,4,118,23,5,10,52,2,5,79,189,0,0
PL_1012082,Lgota Wielka,3473,479,19,0,4,118,12,6,9,51,5,5,108,142,0,0
PL_1012092,Ładzice,3848,427,6,0,6,63,22,5,7,40,7,8,111,152,0,0
PL_1012102,Masłowice,3566,450,11,0,4,83,26,4,5,57,2,6,125,127,0,0
PL_1012113,Przedbórz,6170,1073,33,0,5,224,26,7,7,177,15,13,213,353,0,0
PL_1012122,Radomsko,4462,617,25,0,7,67,16,5,5,71,10,4,165,242,0,0
PL_1012132,Wielgomłyny,3935,552,20,0,6,182,31,5,7,93,8,9,47,144,0,0
PL_1012142,Żytno,4610,568,20,0,4,187,22,7,5,58,9,3,69,184,0,0
PL_1013011,Rawa Mazowiecka,14728,3594,68,0,24,246,32,15,19,446,67,219,1041,1417,0,0
PL_1013023,Biała Rawska,9370,1559,40,0,12,261,66,8,14,112,17,51,206,772,0,0
PL_1013032,Cielądz,3270,476,8,0,2,64,14,4,8,32,2,2,49,291,0,0
PL_1013042,Rawa Mazowiecka,6808,1112,34,0,4,308,37,5,4,49,10,46,143,472,0,0
PL_1013052,Regnów,1472,361,9,0,0,42,11,1,1,3,1,3,10,280,0,0
PL_1013062,Sadkowice,4617,616,10,0,2,153,52,3,3,30,3,8,48,304,0,0
PL_1014011,Sieradz,37332,9020,170,0,81,279,101,57,101,1547,318,82,3979,2305,0,0
PL_1014023,Błaszki,12016,1770,44,0,13,394,72,21,30,245,27,22,351,551,0,0
PL_1014032,Brąszewice,3392,516,9,0,2,102,30,12,10,42,3,9,90,207,0,0
PL_1014042,Brzeźnio,4972,831,25,0,1,220,52,6,20,102,14,3,206,182,0,0
PL_1014052,Burzenin,4543,663,25,0,6,175,42,8,6,71,8,17,165,140,0,0
PL_1014062,Goszczanów,4485,499,16,0,2,95,41,4,49,47,9,5,68,163,0,0
PL_1014072,Klonowa,2391,348,11,0,4,145,33,5,2,25,3,0,56,64,0,0
PL_1014082,Sieradz,7787,1209,21,0,11,167,43,12,20,85,34,10,328,478,0,0
PL_1014093,Warta,10458,1673,57,0,8,213,101,12,23,187,33,13,369,657,0,0
PL_1014102,Wróblew,4934,659,18,0,1,138,39,4,22,50,10,3,144,230,0,0
PL_1014113,Złoczew,5820,1132,50,0,13,191,65,8,18,108,10,26,211,432,0,0
PL_1015012,Bolimów,3263,532,15,0,8,157,18,8,6,30,11,8,117,154,0,0
PL_1015022,Głuchów,4801,1347,40,0,4,435,55,5,12,49,5,23,86,633,0,0
PL_1015032,Godzianów,2101,295,4,0,1,69,7,1,5,12,2,5,31,158,0,0
PL_1015042,Kowiesy,2431,417,6,0,4,143,33,1,1,13,3,5,69,139,0,0
PL_1015052,Lipce Reymontowskie,2678,380,12,0,4,89,14,3,3,12,12,4,68,159,0,0
PL_1015062,Maków,4793,726,20,0,11,133,38,5,11,40,7,20,168,273,0,0
PL_1015072,Nowy Kawęczyn,2627,379,9,0,2,127,13,0,6,31,3,4,57,127,0,0
PL_1015082,Skierniewice,5519,883,26,0,14,226,39,8,4,41,8,25,213,279,0,0
PL_1015092,Słupia,2109,328,25,0,0,112,11,0,8,15,8,3,38,108,0,0
PL_1016011,Tomaszów Mazowiecki,54027,12918,247,0,95,354,186,70,70,2098,293,172,5071,4262,0,0
PL_1016022,Będków,2812,504,7,0,2,108,38,4,7,33,12,8,98,187,0,0
PL_1016032,Budziszewice,1793,349,12,0,3,59,16,1,3,31,6,9,54,155,0,0
PL_1016042,Czerniewice,4196,796,23,0,1,364,27,4,14,41,7,6,84,225,0,0
PL_1016052,Inowłódz,3210,695,21,0,6,83,14,3,5,70,11,9,232,241,0,0
PL_1016062,Lubochnia,5850,966,29,0,6,177,35,2,15,110,16,21,164,391,0,0
PL_1016072,Rokiciny,4858,889,17,0,5,142,34,13,4,58,20,7,190,399,0,0
PL_1016082,Rzeczyca,3982,604,19,0,7,145,44,5,11,48,6,16,57,246,0,0
PL_1016092,Tomaszów Mazowiecki,8163,1535,45,0,9,201,77,15,11,94,18,36,448,581,0,0
PL_1016102,Ujazd,6411,1245,40,0,13,115,41,11,12,127,32,24,353,477,0,0
PL_1016112,Żelechlinek,2723,595,19,0,3,305,15,2,4,11,6,8,27,195,0,0
PL_1017012,Biała,4412,591,15,0,4,110,37,0,3,25,7,6,128,256,0,0
PL_1017022,Czarnożyły,3641,593,15,0,10,181,29,4,27,52,8,7,105,155,0,0
PL_1017032,Konopnica,3271,587,27,0,2,144,49,11,6,57,8,8,167,108,0,0
PL_1017042,Mokrsko,4298,799,26,0,18,143,51,8,19,89,18,3,218,206,0,0
PL_1017052,Osjaków,3814,633,21,0,2,169,60,5,3,45,5,13,106,204,0,0
PL_1017062,Ostrówek,3679,510,30,0,10,104,20,3,7,56,10,7,117,146,0,0
PL_1017072,Pątnów,5044,760,40,0,7,213,58,10,7,53,10,8,157,197,0,0
PL_1017082,Skomlin,2716,522,20,0,4,145,25,4,5,45,11,6,129,128,0,0
PL_1017093,Wieluń,27418,6156,121,0,55,478,84,29,40,799,145,71,2584,1750,0,0
PL_1017102,Wierzchlas,5308,707,26,0,6,182,35,7,3,83,10,5,167,183,0,0
PL_1018012,Bolesławiec,3304,565,15,0,5,164,29,6,9,67,8,6,117,139,0,0
PL_1018022,Czastary,3141,433,14,0,0,153,23,2,3,31,5,8,72,122,0,0
PL_1018032,Galewice,4891,720,26,0,4,192,29,5,8,54,16,14,186,186,0,0
PL_1018042,Lututów,3780,623,34,0,7,136,42,7,6,83,12,8,111,177,0,0
PL_1018052,Łubnice,3245,523,9,0,5,299,18,1,5,33,4,4,56,89,0,0
PL_1018062,Sokolniki,3877,589,18,0,3,195,22,4,6,28,13,5,141,154,0,0
PL_1018073,Wieruszów,11496,2616,72,0,30,452,45,23,13,325,36,38,928,654,0,0
PL_1019011,Zduńska Wola,36103,7799,120,0,65,226,67,55,69,1001,179,67,3583,2367,0,0
PL_1019023,Szadek,5869,807,21,0,3,133,44,3,17,68,21,10,241,246,0,0
PL_1019032,Zapolice,3765,467,6,0,1,68,6,5,10,42,12,8,157,152,0,0
PL_1019042,Zduńska Wola,8817,1488,50,0,9,155,32,27,12,105,26,23,474,575,0,0
PL_1020011,Głowno,12497,2625,57,0,28,73,44,23,27,323,75,27,1334,614,0,0
PL_1020021,Ozorków,16877,3426,66,0,26,72,44,25,35,500,108,26,1469,1055,0,0
PL_1020031,Zgierz,47633,12621,228,0,134,243,119,107,137,1638,399,99,6204,3313,0,0
PL_1020043,Aleksandrów Łódzki,22266,5625,69,0,66,157,78,39,31,537,352,45,2930,1321,0,0
PL_1020052,Głowno,3902,603,12,0,2,97,146,2,18,36,10,5,93,182,0,0
PL_1020062,Ozorków,5301,983,31,0,10,120,90,9,9,70,24,6,315,299,0,0
PL_1020072,Parzęczew,3944,705,9,0,7,97,33,2,6,87,29,7,233,195,0,0
PL_1020083,Stryków,9762,1887,39,0,22,190,62,12,20,215,75,13,757,482,0,0
PL_1020092,Zgierz,9500,2222,48,0,18,76,51,11,15,221,59,4,938,781,0,0
PL_1021011,Brzezińy,10191,2058,41,0,23,148,35,22,18,219,67,21,798,666,0,0
PL_1021022,Brzezińy,8781,1405,29,0,4,491,64,12,23,128,25,33,264,332,0,0
PL_1021032,Dmosin,3771,668,18,0,3,176,37,2,15,63,13,31,124,186,0,0
PL_1021042,Jeżów,2821,658,5,0,8,197,11,4,6,19,9,7,116,276,0,0
PL_1021052,Rogów,3844,785,23,0,11,116,17,4,55,48,10,3,258,240,0,0
PL_1061011,M. Łódź,605839,195080,2198,0,2033,2124,1068,989,1140,27999,9280,1521,103812,42916,0,0
PL_1062011,M. Piotrków Trybunalski,63664,15898,306,0,181,380,133,121,118,2389,362,315,6917,4676,0,0
PL_1063011,M. Skierniewice,39300,9881,153,0,85,556,72,72,77,1463,282,303,4246,2572,0,0
PL_1201011,Bochnia,23598,7230,62,0,110,143,21,25,40,515,131,173,3149,2861,0,0
PL_1201022,Bochnia,14439,3023,56,0,34,171,31,13,27,129,37,57,946,1522,0,0
PL_1201032,Drwinia,4987,893,16,0,4,60,23,4,20,30,7,15,180,534,0,0
PL_1201042,Lipnica Murowana,4218,968,27,0,7,120,14,7,12,35,10,36,263,437,0,0
PL_1201052,Łapanów,5659,1269,51,0,11,254,21,3,17,47,16,19,334,496,0,0
PL_1201063,Nowy Wiśnicz,10221,2600,48,0,21,115,13,14,33,95,25,70,845,1321,0,0
PL_1201072,Rzezawa,8184,1936,36,0,17,67,17,8,16,40,11,32,540,1152,0,0
PL_1201082,Trzciana,3879,1012,13,0,5,120,10,1,17,29,8,12,225,572,0,0
PL_1201092,Żegocina,3850,1103,25,0,10,143,5,2,17,8,4,22,154,713,0,0
PL_1202012,Borzęcin,6500,1524,41,0,11,105,30,10,23,25,15,195,324,745,0,0
PL_1202023,Brzesko,28313,7860,124,0,70,215,41,28,76,385,183,237,2517,3984,0,0
PL_1202033,Czchów,7086,1738,45,0,25,125,26,14,68,56,13,37,322,1007,0,0
PL_1202042,Dębno,10745,2754,68,0,31,250,29,18,52,102,21,75,717,1391,0,0
PL_1202052,Gnojnik,5634,1346,50,0,9,103,33,15,32,30,10,35,212,817,0,0
PL_1202062,Iwkowa,4578,1145,31,0,11,122,15,4,11,29,7,23,132,760,0,0
PL_1202072,Szczurowa,7802,1401,35,0,12,278,29,5,23,72,18,20,292,617,0,0
PL_1203013,Alwernia,10265,2190,49,0,26,97,15,7,11,207,87,23,805,863,0,0
PL_1203022,Babice,7102,1488,42,0,19,114,28,13,16,126,48,18,539,525,0,0
PL_1203033,Chrzanów,40429,11019,195,0,103,186,52,70,74,2028,413,95,4566,3237,0,0
PL_1203043,Libiąż,18378,4072,84,0,31,74,33,32,25,610,59,49,1698,1377,0,0
PL_1203053,Trzebinia,28376,6976,164,0,108,183,67,56,57,1094,173,76,2844,2154,0,0
PL_1204012,Bolesław,2348,501,22,0,2,164,14,1,12,16,2,6,40,222,0,0
PL_1204023,Dąbrowa Tarnowska,16459,3686,61,0,22,478,33,13,26,173,49,86,866,1879,0,0
PL_1204032,Gręboszów,2954,832,7,0,3,372,19,0,13,17,4,5,56,336,0,0
PL_1204042,Mędrzechów,2860,563,13,0,2,105,9,5,13,25,8,9,100,274,0,0
PL_1204052,Olesno,6112,1157,16,0,2,135,21,7,12,34,9,26,156,739,0,0
PL_1204062,Radgoszcz,5513,1202,29,0,4,130,18,4,16,23,1,272,83,622,0,0
PL_1204072,Szczucin,10593,2024,76,0,11,309,43,8,40,125,21,34,375,982,0,0
PL_1205011,Gorlice,24472,6579,138,0,72,174,47,25,48,835,85,84,2351,2720,0,0
PL_1205023,Biecz,13509,2630,63,0,17,219,44,18,17,163,41,26,520,1502,0,0
PL_1205032,Bobowa,6937,1800,47,0,5,105,31,8,24,47,12,15,349,1157,0,0
PL_1205042,Gorlice,13020,2886,91,0,44,170,42,22,28,186,24,24,633,1622,0,0
PL_1205052,Lipinki,5432,1177,25,0,14,41,17,20,10,116,4,15,175,740,0,0
PL_1205062,Łużna,6401,1291,49,0,6,150,25,1,21,74,13,23,212,717,0,0
PL_1205072,Moszczenica,3733,605,6,0,5,63,4,9,6,21,8,11,83,389,0,0
PL_1205082,Ropa,3827,951,27,0,5,72,19,5,12,28,6,7,160,610,0,0
PL_1205092,Sękowa,3859,821,14,0,4,78,14,6,7,45,8,5,254,386,0,0
PL_1205102,Uście Gorlickie,4998,1161,37,0,10,104,25,6,3,64,14,7,535,356,0,0
PL_1206012,Czernichów,10384,1980,32,0,38,93,11,11,16,90,20,15,703,951,0,0
PL_1206022,Igołomia-Wawrzeńczyce,6043,774,4,0,12,94,11,2,1,30,4,3,260,353,0,0
PL_1206032,Iwanowice,6563,1324,31,0,27,138,43,5,9,58,13,7,386,607,0,0
PL_1206042,Jerzmanowice-Przeginia,8300,1600,29,0,12,95,31,6,13,102,13,16,473,810,0,0
PL_1206052,Kocmyrzów-Luborzyca,10356,1914,30,0,14,174,48,9,19,129,24,12,659,796,0,0
PL_1206063,Krzeszowice,25870,6533,120,0,70,667,28,29,50,491,124,54,2368,2532,0,0
PL_1206072,Liszki,12302,2857,49,0,33,113,13,15,22,121,25,35,907,1524,0,0
PL_1206082,Michałowice,6427,1525,18,0,12,75,19,4,22,56,17,20,654,628,0,0
PL_1206092,Mogilany,8855,2470,37,0,45,42,13,12,26,109,41,34,1048,1063,0,0
PL_1206103,Skała,7617,1685,27,0,23,153,27,9,19,99,29,14,547,738,0,0
PL_1206113,Skawina,33072,8301,118,0,107,231,29,36,75,505,161,69,3454,3516,0,0
PL_1206123,Słomniki,10932,2182,63,0,28,206,31,13,29,143,26,23,606,1014,0,0
PL_1206132,Sułoszowa,4588,1007,35,0,5,196,19,4,11,26,9,5,157,540,0,0
PL_1206143,Świątniki Górne,6984,1734,17,0,27,38,2,7,24,62,19,21,712,805,0,0
PL_1206152,Wielka Wieś,7562,2017,32,0,28,101,17,6,11,94,24,15,831,858,0,0
